Belgien;143800;1763;294;3578;87;69
Bulgarien;2953;734;571;4030;72;56
Dänemark;945;1308;330;1987;93;84
Deutschland;10446;13009;2370;38594;94;79
Estland;953;154;0;1161;90;68
Finnland;4286;893;0;5926;94;74
Frankreich;12797;11618;6400;28120;89;68
Griechenland;0;280;53;2240;76;52
Irland;823;916;0;1931;89;69
Italien;5837;6943;4016;16788;84;39
Kroatien;2255;1310;610;2604;82;62
Lettland;202;0;414;1859;82;56
Litauen;1639;324;500;1911;78;60
Luxemburg;0;165;0;275;93;81
Niederlande;0;2758;391;3055;98;84
Österreich;2250;1743;1214;5527;89;72
Polen;5818;1640;2483;19209;84;47
Portugal;2241;3065;147;2545;0;0
Rumänien;6200;763;3112;10774;81;56
Schweden;6747;2132;0;10874;92;86
Slowakei;1524;482;506;3626;81;59
Slowenien;726;783;0;1209;87;64
Spanien;0;15523;4736;15949;86;80
Tschechien;2631;1240;642;9567;86;64
Ungarn;2334;1936;2235;7945;83;58
Vereinigtes Königreich;3792;3803;4446;16320;95;78
